interaction_id,customer_id,channel,task_difficulty,wait_seconds,resolved,satisfaction
SIM001,C001,AI,Simple,33,1,3
SIM002,C002,AI,Simple,67,1,4
SIM003,C003,AI,Complex,40,1,3
SIM004,C004,AI,Simple,72,0,3
SIM005,C005,AI,Simple,73,1,3
SIM006,C006,AI,Complex,71,1,4
SIM007,C007,AI,Simple,68,1,4
SIM008,C008,AI,Simple,35,0,2
SIM009,C009,AI,Complex,25,1,
SIM010,C010,AI,Simple,51,1,5
SIM011,C011,AI,Simple,32,1,3
SIM012,C012,AI,Complex,31,0,1
SIM013,C013,AI,Simple,35,1,5
SIM014,C014,AI,Simple,56,1,5
SIM015,C015,AI,Complex,74,1,3
SIM016,C016,AI,Simple,73,0,1
SIM017,C017,AI,Simple,48,1,4
SIM018,C018,AI,Complex,10,1,4
SIM019,C019,AI,Simple,61,1,3
SIM020,C020,AI,Simple,61,0,3
SIM021,C021,Human,Complex,69,1,5
SIM022,C022,Human,Simple,98,1,5
SIM023,C023,Human,Simple,59,1,4
SIM024,C024,Human,Complex,101,0,3
SIM025,C025,Human,Simple,63,1,5
SIM026,C026,Human,Simple,39,1,4
SIM027,C027,Human,Complex,86,1,5
SIM028,C028,Human,Simple,89,0,1
SIM029,C029,Human,Simple,88,1,5
SIM030,C030,Human,Complex,126,1,5
SIM031,C031,Human,Simple,126,1,
SIM032,C032,Human,Simple,45,0,1
SIM033,C033,Human,Complex,51,1,5
SIM034,C034,Human,Simple,112,1,4
SIM035,C035,Human,Simple,41,1,4
SIM036,C036,Human,Complex,90,0,2
SIM037,C037,Human,Simple,98,1,3
SIM038,C038,Human,Simple,115,1,3
SIM039,C039,Human,Complex,100,1,4
SIM040,C040,Human,Simple,93,0,2
